district,mukim,Male 00-14,Female 00-14,Male 15-24,Female 15-24,Male 25-64,Female 25-64,Male 65+,Female 65+
Brunei-Muara,Mukim Kianggeh,801,782,529,470,"2,627","2,450",207,236
Brunei-Muara,Mukim Sungai Kedayan,24,16,16,3,123,54,2,3
Brunei-Muara,Mukim Saba,115,111,89,94,210,167,12,29
Brunei-Muara,Mukim Sungai Kebun,608,495,501,391,"1,107",978,88,114
Brunei-Muara,Mukim Burong Pingai Ayer,198,203,157,138,344,338,35,46
Brunei-Muara,Mukim Peramu,165,154,132,118,267,258,26,31
Brunei-Muara,Mukim Tamoi,131,138,102,84,199,220,35,33
Brunei-Muara,Mukim Berakas A,"3,033","2,809","2,121","1,778","9,633","7,264",748,925
Brunei-Muara,Mukim Berakas B,"3,906","3,687","2,865","2,485","11,742","10,825","1,823","1,951"
Brunei-Muara,Mukim Gadong A,"3,598","3,379","2,961","2,871","10,400","10,264",918,"1,033"
Brunei-Muara,Mukim Gadong B,"3,991","3,663","2,990","2,818","12,091","10,695",838,981
Brunei-Muara,Mukim Kota Batu,"1,295","1,129","1,069",888,"3,764","3,462",482,587
Brunei-Muara,Mukim Lumapas,874,784,779,751,"2,242","2,092",242,294
Brunei-Muara,Mukim Kilanas,"2,387","2,235","1,805","1,650","8,596","6,729",770,809
Brunei-Muara,Mukim Sengkurong,"4,484","4,113","3,369","2,974","13,274","10,724",956,"1,078"
Brunei-Muara,Mukim Pangkalan Batu,"1,708","1,538","1,427","1,354","4,921","4,021",423,468
Brunei-Muara,Mukim Mentiri,"4,808","4,558","4,253","3,977","10,269","9,953",694,812
Brunei-Muara,Mukim Serasa,"1,875","1,725","2,005","1,755","6,115","4,539",256,299
Belait,Mukim Kuala Belait,"2,595","2,300","1,909","1,648","9,955","7,784","1,269","1,333"
Belait,Mukim Seria,"2,086","1,855","1,681","1,480","5,134","4,907",537,633
Belait,Mukim Liang,"1,942","1,771","1,401","1,249","4,877","4,388",554,631
Belait,Mukim Kuala Balai,0,2,3,3,1,6,1,0
Belait,Mukim Labi,43,46,55,31,256,165,65,66
Belait,Mukim Bukit Sawat,62,45,49,35,331,142,48,47
Belait,Mukim Sukang,3,4,2,1,26,20,14,11
Belait,Mukim Melilas,4,4,2,2,8,7,1,1
Tutong,Mukim Pekan Tutong,"1,113","1,059",837,771,"2,944","2,483",317,359
Tutong,Mukim Keriam,900,878,773,706,"2,520","2,164",291,357
Tutong,Mukim Telisai,"1,796","1,714","1,121","1,063","3,597","3,297",351,314
Tutong,Mukim Tanjong Maya,321,307,385,317,"1,124",966,149,203
Tutong,Mukim Kiudang,421,411,465,413,"1,544","1,288",242,279
Tutong,Mukim Lamunin,367,317,298,305,"1,032",949,175,198
Tutong,Mukim Ukong,158,179,168,186,600,501,116,121
Tutong,Mukim Rambai,88,99,64,92,264,250,58,65
Temburong,Mukim Bangar,271,206,167,149,672,480,76,91
Temburong,Mukim Amo,170,138,151,128,487,418,80,85
Temburong,Mukim Labu,49,35,55,44,147,135,23,20
Temburong,Mukim Batu Apoi,137,114,104,114,408,348,69,61
Temburong,Mukim Bokok,440,406,375,318,"1,001",973,149,150
