mukim,hp_phi
Mukim Melilas,NA
Mukim Sukang,NA
Mukim Kuala Balai,NA
Mukim Kuala Belait,89.68
Mukim Bukit Sawat,NA
Mukim Seria,-4.34
Mukim Amo,-101.48
Mukim Liang,25.05
Mukim Batu Apoi,-73.97
Mukim Telisai,-28.12
Mukim Tanjong Maya,-39.93
Mukim Bokok,-113.37
Mukim Pangkalan Batu,-9.07
Mukim Labu,NA
Mukim Lumapas,-11.83
Mukim Sungai Kebun,NA
Mukim Burong Pingai Ayer,NA
Mukim Saba,NA
Mukim Peramu,NA
Mukim Tamoi,NA
Mukim Kilanas,34.72
Mukim Rambai,-118.46
Mukim Gadong B,70.08
Mukim Sengkurong,40.73
Mukim Berakas B,61.61
Mukim Gadong A,113.11
Mukim Mentiri,33.88
Mukim Serasa,1.65
Mukim Labi,NA
Mukim Ukong,-73.39
Mukim Lamunin,-71.51
Mukim Kiudang,-71.02
Mukim Pekan Tutong,-34.55
Mukim Keriam,-16.52
Mukim Kianggeh,220.38
Mukim Sungai Kedayan,NA
Mukim Kota Batu,67.79
Mukim Berakas A,47.2
Mukim Bangar,-38.31
